full_name,clone_url,default_branch,stargazers_count,last_pushed,license_spdx,license_class,language,archived
pantheon-systems/pantheon-wordpress-upstream-tests,https://github.com/pantheon-systems/pantheon-wordpress-upstream-tests.git,master,14,2026-04-14,MIT,permissive,Gherkin,False
camaraproject/OTPValidation,https://github.com/camaraproject/OTPValidation.git,main,14,2026-03-19,Apache-2.0,permissive,Gherkin,False
Alicade123/SpecFlowOnlineBankingVS,https://github.com/Alicade123/SpecFlowOnlineBankingVS.git,Main,14,2026-01-05,,unlicensed,Gherkin,False
ajspadial-science/canciella,https://github.com/ajspadial-science/canciella.git,master,14,2017-01-25,GPL-3.0,copyleft,Cucumber,False
Vanguard-oss/behave-asl,https://github.com/Vanguard-oss/behave-asl.git,master,14,2025-01-15,Apache-2.0,permissive,Gherkin,False
camaraproject/DeviceStatus,https://github.com/camaraproject/DeviceStatus.git,main,14,2025-12-16,Apache-2.0,permissive,Gherkin,False
epam-deik-cooperation/epam-deik-java-dev,https://github.com/epam-deik-cooperation/epam-deik-java-dev.git,main,14,2025-12-01,,unlicensed,Gherkin,False
vale-cli/Joblint,https://github.com/vale-cli/Joblint.git,master,13,2024-11-21,MIT,permissive,Gherkin,False
camaraproject/CarrierBillingCheckOut,https://github.com/camaraproject/CarrierBillingCheckOut.git,main,13,2026-03-20,Apache-2.0,permissive,Gherkin,False
wiris/moodle-tinymce_tiny_mce_wiris,https://github.com/wiris/moodle-tinymce_tiny_mce_wiris.git,stable,13,2024-01-29,GPL-3.0,copyleft,Gherkin,False
actiontech/dble-test-suite,https://github.com/actiontech/dble-test-suite.git,master,13,2025-01-06,MPL-2.0,copyleft,Gherkin,False
DigitalState/Services,https://github.com/DigitalState/Services.git,master,13,2021-02-03,MIT,permissive,Gherkin,False
camaraproject/KnowYourCustomer,https://github.com/camaraproject/KnowYourCustomer.git,main,13,2025-12-12,Apache-2.0,permissive,Gherkin,False
crdoconnor/orji,https://github.com/crdoconnor/orji.git,master,13,2026-03-13,MIT,permissive,Gherkin,False
PacktPublishing/Writing-API-Tests-with-Karate,https://github.com/PacktPublishing/Writing-API-Tests-with-Karate.git,main,12,2024-08-29,MIT,permissive,Gherkin,False
AFixt/apg-gherkin,https://github.com/AFixt/apg-gherkin.git,main,12,2026-04-11,MIT,permissive,Gherkin,False
tkotosz/BehatMagento2Extension,https://github.com/tkotosz/BehatMagento2Extension.git,master,11,2024-10-04,MIT,permissive,Gherkin,False
1C-CPM/VA-Tests-UH33,https://github.com/1C-CPM/VA-Tests-UH33.git,main,11,2026-04-15,,unlicensed,Gherkin,False
wp-cli/super-admin-command,https://github.com/wp-cli/super-admin-command.git,main,11,2026-03-29,MIT,permissive,Gherkin,False
bemusic/bmspec,https://github.com/bemusic/bmspec.git,master,11,2015-08-06,Unlicense,permissive,Cucumber,False
wiris/moodle-atto_wiris,https://github.com/wiris/moodle-atto_wiris.git,main,11,2026-03-18,GPL-3.0,copyleft,Gherkin,False
camaraproject/WebRTC,https://github.com/camaraproject/WebRTC.git,main,10,2026-04-13,Apache-2.0,permissive,Gherkin,False
shunsunsun/GraphModel,https://github.com/shunsunsun/GraphModel.git,master,10,2018-06-07,,unlicensed,Gherkin,False
wp-cli/eval-command,https://github.com/wp-cli/eval-command.git,main,10,2026-03-29,MIT,permissive,Gherkin,False
NetworkManager/NetworkManager-ci,https://github.com/NetworkManager/NetworkManager-ci.git,main,10,2026-04-16,GPL-3.0,copyleft,Gherkin,False
ZichenWen1/AHGFC,https://github.com/ZichenWen1/AHGFC.git,master,10,2024-04-10,,unlicensed,Gherkin,False
karatelabs/karate-template,https://github.com/karatelabs/karate-template.git,main,10,2025-11-30,,unlicensed,Gherkin,False
oguzhanmelihguclu/KarateFramework,https://github.com/oguzhanmelihguclu/KarateFramework.git,main,10,2025-08-15,,unlicensed,Gherkin,False
ShittySoft/symfony-live-berlin-2019-doctrine-tutorial,https://github.com/ShittySoft/symfony-live-berlin-2019-doctrine-tutorial.git,master,10,2019-09-24,,unlicensed,Gherkin,False
safetrustcr/backend-SafeTrust,https://github.com/safetrustcr/backend-SafeTrust.git,main,10,2026-04-15,,unlicensed,Gherkin,False
ernilambar/database-command,https://github.com/ernilambar/database-command.git,master,10,2024-08-18,,unlicensed,Gherkin,False
wokas36/DFNets,https://github.com/wokas36/DFNets.git,master,10,2020-01-15,MIT,permissive,Gherkin,False
kairichard/lace,https://github.com/kairichard/lace.git,master,10,2025-01-16,GPL-3.0,copyleft,Gherkin,False
redpanda-data/docs,https://github.com/redpanda-data/docs.git,main,10,2026-04-17,,unlicensed,Gherkin,False
3scale/porta,https://github.com/3scale/porta.git,master,79,2026-04-17,Apache-2.0,permissive,Ruby,False
4shen/webshell,https://github.com/4shen/webshell.git,master,11,2020-11-15,,unlicensed,,False
AgileVentures/AgileVentures,https://github.com/AgileVentures/AgileVentures.git,master,21,2023-12-10,,unlicensed,Ruby,False
AgileVentures/WebsiteOne,https://github.com/AgileVentures/WebsiteOne.git,develop,145,2024-04-27,NOASSERTION,unknown,Ruby,False
ArcadeData/arcadedb,https://github.com/ArcadeData/arcadedb.git,main,813,2026-04-18,Apache-2.0,permissive,Java,False
Automattic/co-authors-plus,https://github.com/Automattic/co-authors-plus.git,develop,315,2026-04-15,GPL-2.0,copyleft,PHP,False
BalamiRR/QA-Testinium,https://github.com/BalamiRR/QA-Testinium.git,main,27,2026-04-09,,unlicensed,Java,False
BitBagCommerce/SyliusCmsPlugin,https://github.com/BitBagCommerce/SyliusCmsPlugin.git,master,246,2025-05-22,MIT,permissive,PHP,False
BlueDotBrigade/weevil,https://github.com/BlueDotBrigade/weevil.git,main,18,2026-04-19,Apache-2.0,permissive,C#,False
BugRoger/beastmode,https://github.com/BugRoger/beastmode.git,main,16,2026-04-12,MIT,permissive,TypeScript,False
CDCgov/NEDSS-Modernization,https://github.com/CDCgov/NEDSS-Modernization.git,main,26,2026-04-17,,unlicensed,Java,False
Coevery/Coevery,https://github.com/Coevery/Coevery.git,develop,222,2017-04-17,NOASSERTION,unknown,C#,False
DFE-Digital/schools-experience,https://github.com/DFE-Digital/schools-experience.git,master,12,2026-04-02,MIT,permissive,Ruby,False
DalyMeftah/odiseo_softylines_plugin,https://github.com/DalyMeftah/odiseo_softylines_plugin.git,master,13,2025-11-20,MIT,permissive,PHP,False
DarkmiraTour/community-event-manager,https://github.com/DarkmiraTour/community-event-manager.git,master,22,2023-01-04,GPL-3.0,copyleft,PHP,False
